CPF rév. 2.1, 2015 - Niveau 6 - Liste des sous-catégories;
79.11.12;Services de réservation pour les transports ferroviaires
79.11.13;Services de réservation pour les transports en autocars
79.11.14;Services de réservation pour la location de véhicules
79.11.19;Autres services des agences de voyage pour la réservation de transports
79.11.21;Services de réservation pour l'hébergement
79.11.22;Services de réservation pour les croisières
79.11.23;Services de réservation pour les voyages à forfait
79.12.11;Services des voyagistes pour l'élaboration de voyages
79.12.12;Services des accompagnateurs de voyage
79.90.11;Services de promotion touristique
79.90.12;Services d'information des visiteurs
79.90.20;Services des guides touristiques
79.90.31;Services d'échange de périodes dans des immeubles en multipropriété
79.90.32;Services de réservation pour des centres de conférences et de congrès et des salles d'exposition
79.90.39;Services de réservation de billets, de spectacles et de services récréatifs et autres services de réservation n.c.a.
80.10.11;Services de transport de fonds
80.10.12;Services de gardiennage
80.10.19;Autres services de sécurité
80.20.10;Services de systèmes de sécurité
80.30.10;Services d'enquête
81.10.10;Services d'appui combinés liés aux bâtiments
81.21.11;Services de ménage à domicile
81.21.12;Autres services de nettoyage courant des bâtiments
81.22.11;Services de nettoyage de vitres
81.22.12;Services de nettoyage spécialisé
81.22.13;Services de ramonage
81.29.11;Services de désinfection, dératisation et désinsectisation
81.29.12;Services de balayage et de déneigement
81.29.13;Autres services d'hygiène
81.29.19;Autres services de nettoyage n.c.a.
81.30.11;Services de jardinage à domicile
81.30.12;Autres services d'aménagement paysager
82.11.10;Services administratifs combinés
82.19.11;Services de duplication
82.19.12;Établissement de fichiers d'adresses et services d'expédition de documents
82.19.13;Préparation de documents et autres services spécialisés de soutien administratif
82.20.10;Services des centres d'appels
82.30.11;Services d'organisation de congrès
82.30.12;Services d'organisation de salons professionnels
82.91.11;Services d'informations financières sur la clientèle
82.91.12;Services des agences de recouvrement
82.92.10;Services de conditionnement
82.99.11;Services de compte rendu sténographique
82.99.12;Services de soutien basés sur le téléphone
82.99.19;Autres services divers de soutien aux entreprises n.c.a.
84.11.11;Services exécutifs et législatifs
84.11.12;Services budgétaires et fiscaux
84.11.13;Services de planification économique et sociale et statistiques
84.11.14;Services d'assistance à la recherche fondamentale
84.11.19;Autres services publics généraux
84.11.21;Services généraux du personnel des administrations
84.11.29;Autres services de soutien aux administrations
84.12.11;Tutelle des services de la formation
84.12.12;Tutelle des services de la santé
84.12.13;Tutelle des services de logement et d'urbanisme
84.12.14;Tutelle des services récréatifs, culturels et religieux
84.13.11;Tutelle des affaires liées à l'agriculture, la sylviculture, la pêche et la chasse
84.13.12;Tutelle des affaires énergétiques
84.13.13;Tutelle des affaires liées aux industries extractives et aux ressources minérales, aux industries manufacturières et à la construction
84.13.14;Tutelle des affaires de transport et de communications
84.13.15;Tutelle des affaires de commerce, d'hôtellerie et de restauration
84.13.16;Tutelle des affaires touristiques
84.13.17;Services d'administration publique de projets de développement multiples
84.13.18;Tutelle des affaires économiques, commerciales et de l'emploi
84.21.11;Services d'administration des affaires étrangères et services diplomatiques et consulaires à l'étranger
84.21.12;Services d'aide économique fournie à l'étranger
84.21.13;Services d'aide militaire fournie à l'étranger
84.22.11;Services des forces armées
84.22.12;Services de défense civile
84.23.11;Services d'administration de la justice
84.23.12;Services d'administration pénitentiaire
84.24.11;Services de police
84.24.19;Autres services de maintien de l'ordre et de sécurité
84.25.11;Services de lutte contre l'incendie et de prévention des incendies
84.25.19;Autres services du feu et de secours
84.30.11;Services de sécurité sociale obligatoire concernant les prestations de maladie, maternité et invalidité temporaire
84.30.12;Services de sécurité sociale obligatoire concernant les régimes de pensions de la fonction publique et les prestations de retraite, invalidité permanente et reversion autres que pour les salariés de la fonction publique
84.30.13;Services de sécurité sociale obligatoire concernant les prestations de chômage
84.30.14;Services de sécurité sociale obligatoire concernant les prestations familiales
85.10.10;Enseignement préprimaire
85.20.11;Enseignement primaire en ligne
85.20.12;Autres services d'enseignement primaire
85.31.11;Enseignement secondaire général du premier cycle en ligne
85.31.12;Autres services d'enseignement secondaire général du premier cycle
85.31.21;Enseignement secondaire général du deuxième cycle en ligne
85.31.22;Autres services d'enseignement secondaire général du deuxième cycle
85.32.11;Enseignement secondaire technique ou professionnel du premier cycle en ligne
85.32.12;Autres services d'enseignement secondaire technique ou professionnel du premier cycle
85.32.21;Enseignement secondaire technique ou professionnel du deuxième cycle en ligne
85.32.22;Autres services d'enseignement secondaire technique ou professionnel du deuxième cycle
85.41.11;Enseignement post-secondaire non supérieur général en ligne
85.41.12;Autres services d'enseignement post-secondaire non supérieur général
85.41.13;Enseignement post-secondaire non supérieur technique et professionnel en ligne
85.41.14;Autres services d'enseignement post-secondaire non supérieur technique et professionnel
85.42.11;Enseignement supérieur de cycle court en ligne
85.42.12;Autres services d'enseignement supérieur de cycle court
85.42.21;Enseignement supérieur du premier cycle en ligne (niveau licence ou équivalent)
85.42.22;Autres services d'enseignement supérieur du premier cycle (niveau licence ou équivalent)
85.42.31;Enseignement supérieur du deuxième cycle en ligne (niveau master ou équivalent)
85.42.32;Autres services d'enseignement supérieur du deuxième cycle (niveau master ou équivalent)
85.42.41;Enseignement supérieur du troisième cycle en ligne (niveau doctorat ou équivalent)
85.42.42;Autres services d'enseignement supérieur du troisième cycle (niveau doctorat ou équivalent)
85.51.10;Enseignement de disciplines sportives et d'activités de loisirs
85.52.11;Services des écoles et professeurs de danse
85.52.12;Services des écoles et professeurs de musique
85.52.13;Services des écoles et cours d'arts
85.52.19;Autres services d'enseignement culturel
85.53.11;Services des auto-écoles
85.53.12;Services des écoles de vol et de voile
85.59.11;Services des écoles de langues
85.59.12;Services des organismes de formation informatique
85.59.13;Services d'enseignement professionnel n.c.a.
85.59.14;Cours de soutien scolaire à domicile
85.59.19;Services d'enseignement n.c.a.
85.60.10;Services de soutien à l'enseignement
86.10.11;Services d'hospitalisation chirurgicale
86.10.12;Services d'hospitalisation en gynécologie-obstétrique
86.10.13;Services d'hospitalisation pour rééducation
86.10.14;Services d'hospitalisation en psychiatrie
86.10.15;Autres services hospitaliers fournis par des médecins
86.10.19;Autres services hospitaliers
86.21.10;Services des médecins généralistes
86.22.11;Analyse et interprétation de clichés médicaux
86.22.19;Autres services des médecins spécialistes
86.23.11;Services de soins orthodontiques
86.23.19;Autres services de soins dentaires
86.90.11;Services liés à la grossesse
86.90.12;Services de soins infirmiers
86.90.13;Services de physiothérapie
86.90.14;Services d'ambulances
86.90.15;Services de laboratoires médicaux
86.90.16;Services de banques de sang, de sperme et d'organes
86.90.17;Services d'imagerie diagnostique sans interprétation
86.90.18;Services de soins psychiatriques
86.90.19;Autres services de santé humaine n.c.a.
87.10.10;Services d'hébergement médicalisé
87.20.11;Services d'hébergement social pour enfants handicapés mentaux, malades mentaux et toxicomanes
87.20.12;Services d'hébergement social pour adultes handicapés mentaux, malades mentaux et toxicomanes
87.30.11;Services d'assistance sociale fournis par les établissements d'hébergement social pour personnes âgées
87.30.12;Services d'assistance sociale fournis par les établissements d'hébergement social pour enfants et jeunes handicapés physiques
87.30.13;Services d'assistance sociale fournis par les établissements d'hébergement social pour adultes handicapés physiques
87.90.11;Autres services d'action sociale avec hébergement pour enfants et jeunes
87.90.12;Services d'action sociale avec hébergement pour femmes ayant subi des maltraitances
87.90.13;Autres services d'action sociale avec hébergement pour adultes
88.10.11;Services de visite et d'assistance pour personnes âgées
88.10.12;Services de centres de jour pour personnes âgées
88.10.13;Services de réadaptation professionnelle pour personnes handicapées
